,진료년도,상병구분,시도,SIGUNGU_NM,SIGUNGU_CD,성별,환자수,입내원일수,요양급여비용총액
0,2023,ADHD,서울,강남구,11230,남,5935,44665,4531921230
1,2023,ADHD,서울,강남구,11230,여,4463,32141,3761410190
2,2023,ADHD,서울,강동구,11250,남,1949,16929,1122162570
3,2023,ADHD,서울,강동구,11250,여,1114,8081,599193190
4,2023,ADHD,서울,강서구,11160,남,1694,13144,1090099470
5,2023,ADHD,서울,강서구,11160,여,1099,7486,743099640
6,2023,ADHD,서울,관악구,11210,남,1627,12782,1291565780
7,2023,ADHD,서울,관악구,11210,여,1439,10954,1156065570
8,2023,ADHD,서울,구로구,11170,남,1550,11364,810964960
9,2023,ADHD,서울,구로구,11170,여,1122,8202,714502840
10,2023,ADHD,서울,도봉구,11100,남,503,4191,273667530
11,2023,ADHD,서울,도봉구,11100,여,365,2570,144295180
12,2023,ADHD,서울,동대문구,11060,남,1015,7056,651656010
13,2023,ADHD,서울,동대문구,11060,여,899,6081,598491530
14,2023,ADHD,서울,동작구,11200,남,1487,12004,1261819340
15,2023,ADHD,서울,동작구,11200,여,1111,9529,1003850330
16,2023,ADHD,서울,마포구,11140,남,1958,15643,1323371920
17,2023,ADHD,서울,마포구,11140,여,1861,13269,1155935940
18,2023,ADHD,서울,서대문구,11130,남,1296,5566,667817690
19,2023,ADHD,서울,서대문구,11130,여,588,3404,359338870
20,2023,ADHD,서울,성동구,11040,남,1028,7182,705768960
21,2023,ADHD,서울,성동구,11040,여,735,5205,546532290
22,2023,ADHD,서울,성북구,11080,남,1325,9261,608566340
23,2023,ADHD,서울,성북구,11080,여,823,5579,410122510
24,2023,ADHD,서울,영등포구,11190,남,1433,9981,1000767570
25,2023,ADHD,서울,영등포구,11190,여,1094,8066,854437230
26,2023,ADHD,서울,용산구,11030,남,483,3401,379446080
27,2023,ADHD,서울,용산구,11030,여,516,3247,330633760
28,2023,ADHD,서울,은평구,11120,남,1217,8546,639263610
29,2023,ADHD,서울,은평구,11120,여,877,6154,458998920
30,2023,ADHD,서울,종로구,11010,남,2278,10555,1171798990
31,2023,ADHD,서울,종로구,11010,여,1338,7277,800432770
32,2023,ADHD,서울,중구,11020,남,561,3559,405498330
33,2023,ADHD,서울,중구,11020,여,627,4214,527976390
34,2023,ADHD,서울,송파구,11240,남,4379,31884,3458067640
35,2023,ADHD,서울,송파구,11240,여,2570,19381,2268482910
36,2023,ADHD,서울,중랑구,11070,남,1348,13028,1156621840
37,2023,ADHD,서울,중랑구,11070,여,1246,10072,789842710
38,2023,ADHD,서울,양천구,11150,남,1857,13858,1272379800
39,2023,ADHD,서울,양천구,11150,여,1012,7126,670192170
40,2023,ADHD,서울,서초구,11220,남,3257,23839,2488775950
41,2023,ADHD,서울,서초구,11220,여,2527,18835,2227565730
42,2023,ADHD,서울,노원구,11110,남,1855,14192,1112064960
43,2023,ADHD,서울,노원구,11110,여,1075,7874,605642050
44,2023,ADHD,서울,광진구,11050,남,1541,9940,863060160
45,2023,ADHD,서울,광진구,11050,여,1257,8950,983790700
46,2023,ADHD,서울,강북구,11090,남,397,3091,385140490
47,2023,ADHD,서울,강북구,11090,여,243,1572,185168490
48,2023,ADHD,서울,금천구,11180,남,307,2208,253371460
49,2023,ADHD,서울,금천구,11180,여,259,2039,247056190
50,2023,ADHD,부산,부산남구,21070,남,1061,8967,742710390
51,2023,ADHD,부산,부산남구,21070,여,561,4433,390356620
52,2023,ADHD,부산,부산동구,21030,남,19,71,3941880
53,2023,ADHD,부산,부산동구,21030,여,12,64,4441910
54,2023,ADHD,부산,부산동래구,21060,남,1293,14007,950464170
55,2023,ADHD,부산,부산동래구,21060,여,868,7517,601496330
56,2023,ADHD,부산,부산진구,21050,남,2971,30667,2178618050
57,2023,ADHD,부산,부산진구,21050,여,1279,11976,863810960
58,2023,ADHD,부산,부산북구,21080,남,214,1769,117494800
59,2023,ADHD,부산,부산북구,21080,여,173,1376,93354610
60,2023,ADHD,부산,부산서구,21020,남,369,2894,231513140
61,2023,ADHD,부산,부산서구,21020,여,212,1752,112313870
62,2023,ADHD,부산,부산영도구,21040,남,0,0,0
63,2023,ADHD,부산,부산영도구,21040,여,0,0,0
64,2023,ADHD,부산,부산중구,21010,남,23,124,14885630
65,2023,ADHD,부산,부산중구,21010,여,25,262,30105910
66,2023,ADHD,부산,부산해운대구,21090,남,1987,18260,1183891560
67,2023,ADHD,부산,부산해운대구,21090,여,913,7838,595520580
68,2023,ADHD,부산,부산사하구,21100,남,390,3634,295779550
69,2023,ADHD,부산,부산사하구,21100,여,235,1784,144509540
70,2023,ADHD,부산,부산금정구,21110,남,221,1298,86749790
71,2023,ADHD,부산,부산금정구,21110,여,189,1226,85849860
72,2023,ADHD,부산,부산강서구,21120,남,51,235,18042950
73,2023,ADHD,부산,부산강서구,21120,여,35,270,24023990
74,2023,ADHD,부산,부산연제구,21130,남,1949,18094,1805327380
